<<<<<<< HEAD
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
6,1
6,6
8,4
9,2
9,5
9,5
9,5
9,5
9,5
9,3
9,2
9,2
9,0
8,9
8,9
8,7
8,4
8,3
8,1
8,0
7,7
6,2
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
6,3
7,3
8,1
8,7
8,8
8,8
8,9
8,7
8,5
8,4
8,2
8,0
7,9
7,7
7,6
7,4
7,2
7,1
=======
2021-09-19 11:28:13.937890,250
2021-09-19 11:30:13.241104,250
2021-09-19 11:31:10.643341,250
2021-09-19 11:37:45.757111,250
2021-09-19 11:38:23.540158,250
>>>>>>> 422e8c49e5731de944ab958f150478f19244dfa1
