<<<<<<< HEAD
-,8,3
-,8,3
-,8,4
-,8,4
-,8,2
-,8,4
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,2
-,8,4
-,2,1
-,1,1
-,6
1,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,6,8
-,8,3
-,8,2
-,8,3
-,8,3
-,8,4
-,8,3
-,8,3
-,8,3
-,8,4
-,8,3
-,8,4
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3,"","
"
-,8,3
-,8,3
-,8,4
-,8,3
-,8,3
0
1,6
1,0
1,1
9
7
1,3
1,5
1,6
1,7
7
-,6
-,2
-,8,2
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,3
-,8,4
-,8,2
-,8,3
=======
2021-09-19 11:28:13.937890,-83
2021-09-19 11:30:13.241104,-83
2021-09-19 11:31:10.643341,-83
2021-09-19 11:37:45.757111,-83
2021-09-19 11:38:23.540158,-83
>>>>>>> 422e8c49e5731de944ab958f150478f19244dfa1
